PERIODO,MUNICIPIO,DIAGNOSTICO,GENERO,REGIMEN,RANGO_EDAD,CANTIDAD_CASOS,ANIO,MES_NUM,PERIODO_MENSUAL,TRIMESTRE,MES_NOMBRE,SEMESTRE,GRUPO_DIAGNOSTICO,SALUD_MENTAL_CLASS
2024-01-01,BELEN DE UMBRIA,OTROS TRASTORNOS DE ANSIEDAD,MASCULINO,SUBSIDIADO,18-28,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NINEZ Y EN LA ADOLESCENCIA,MASCULINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NINEZ Y EN LA ADOLESCENCIA,MASCULINO,SUBSIDIADO,6-11,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,"OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A ENFERMEDAD FISICA",FEMENINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,"OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A ENFERMEDAD FISICA",MASCULINO,CONTRIBUTIVO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,"OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A ENFERMEDAD FISICA",MASCULINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,"OTROS TRASTORNOS MENTALES DEBIDOS A LESION Y DISFUNCION CEREBRAL, Y A ENFERMEDAD FISICA",MASCULINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,OTROS TRASTORNOS PSICOTICOS DE ORIGEN NO ORGANICO,MASCULINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,"PROBLEMAS RELACIONADOS CON EL GRUPO PRIMARIO DE APOYO, INCLUSIVE CIRCUNSTANCIAS FAMILIARES",FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,FACTORES_SOCIALES,OTROS_GRUPOS_DX
2024-01-01,BELEN DE UMBRIA,REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION,FEMENINO,CONTRIBUTIVO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION,MASCULINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,RETRASO MENTAL LEVE,MASCULINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,RETRASO MENTAL MODERADO,MASCULINO,SUBSIDIADO,29-59,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNO AFECTIVO BIPOLAR,FEMENINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNO AFECTIVO BIPOLAR,FEMENINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNO AFECTIVO BIPOLAR,MASCULINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNO AFECTIVO BIPOLAR,MASCULINO,SUBSIDIADO,29-59,3,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNO AFECTIVO BIPOLAR,MASCULINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNO DEPRESIVO RECURRENTE,MASCULINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNOS DE LA CONDUCTA,MASCULINO,SUBSIDIADO,6-11,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNOS DEL HUMOR [ AFECTIVOS ] PERSISTENTES,FEMENINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNOS HIPERCINETICOS,FEMENINO,SUBSIDIADO,6-11,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNOS HIPERCINETICOS,MASCULINO,SUBSIDIADO,6-11,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES,MASCULINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,MASCULINO,CONTRIBUTIVO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,MASCULINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS,MASCULINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS,MASCULINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TRASTORNOS SOMATOMORFOS,FEMENINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,TUMOR BENIGNO DE LA GLANDULA TIROIDES,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,ENDOCRINO_METABOLICO,OTROS_GRUPOS_DX
2024-01-01,BOLIVAR,PROBLEMAS RELACIONADOS CON EL AMBIENTE SOCIAL,FEMENINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,FACTORES_SOCIALES,OTROS_GRUPOS_DX
2024-01-01,CARTAGO,EPISODIO DEPRESIVO,MASCULINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,CARTAGO,OBESIDAD,FEMENINO,CONTRIBUTIVO,29-59,2,2024,1,2024-01,1,January,1,ENDOCRINO_METABOLICO,OTROS_GRUPOS_DX
2024-01-01,CARTAGO,OTRAS SIFILIS Y LAS NO ESPECIFICADAS,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,INFECTOLOGIA,OTROS_GRUPOS_DX
2024-01-01,CARTAGO,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,CONTRIBUTIVO,12-17,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,CARTAGO,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,OTRO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,CARTAGO,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,CARTAGO,OTROS TRASTORNOS DE ANSIEDAD,MASCULINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,CARTAGO,OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NINEZ Y EN LA ADOLESCENCIA,FEMENINO,CONTRIBUTIVO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
