anio_mes,municipio_residencia,grupo_diagnostico,genero_paciente,regimen_atencion,rango_edad,total_casos
2024-01,BELEN DE UMBRIA,"Otros Trastornos Mentales Debidos A Lesion Y Disfuncion Cerebral, Y A Enfermedad Fisica",MASCULINO,SUBSIDIADO,60+,1
2024-01,BELEN DE UMBRIA,Otros Trastornos Psicoticos De Origen No Organico,MASCULINO,SUBSIDIADO,18-28,1
2024-01,BELEN DE UMBRIA,"Problemas Relacionados Con El Grupo Primario De Apoyo, Inclusive Circunstancias Familiares",FEMENINO,SUBSIDIADO,29-59,1
2024-01,BELEN DE UMBRIA,Reaccion Al Estres Grave Y Trastornos De Adaptacion,FEMENINO,CONTRIBUTIVO,60+,1
2024-01,BELEN DE UMBRIA,Reaccion Al Estres Grave Y Trastornos De Adaptacion,FEMENINO,SUBSIDIADO,29-59,1
2024-01,BELEN DE UMBRIA,Reaccion Al Estres Grave Y Trastornos De Adaptacion,MASCULINO,CONTRIBUTIVO,29-59,1
2024-01,BELEN DE UMBRIA,Retraso Mental Leve,MASCULINO,SUBSIDIADO,12-17,1
2024-01,BELEN DE UMBRIA,Retraso Mental Moderado,MASCULINO,SUBSIDIADO,29-59,2
2024-01,BELEN DE UMBRIA,Trastorno Afectivo Bipolar,FEMENINO,SUBSIDIADO,18-28,1
2024-01,BELEN DE UMBRIA,Trastorno Afectivo Bipolar,FEMENINO,SUBSIDIADO,60+,1
2024-01,BELEN DE UMBRIA,Trastorno Afectivo Bipolar,MASCULINO,SUBSIDIADO,18-28,1
2024-01,BELEN DE UMBRIA,Trastorno Afectivo Bipolar,MASCULINO,SUBSIDIADO,29-59,3
2024-01,BELEN DE UMBRIA,Trastorno Afectivo Bipolar,MASCULINO,SUBSIDIADO,60+,1
2024-01,BELEN DE UMBRIA,Trastorno Depresivo Recurrente,MASCULINO,SUBSIDIADO,60+,1
2024-01,BELEN DE UMBRIA,Trastornos De La Conducta,MASCULINO,SUBSIDIADO,6-11,1
2024-01,BELEN DE UMBRIA,Trastornos Del Humor [ Afectivos ] Persistentes,FEMENINO,SUBSIDIADO,18-28,1
2024-01,BELEN DE UMBRIA,Trastornos Hipercineticos,FEMENINO,SUBSIDIADO,6-11,1
2024-01,BELEN DE UMBRIA,Trastornos Hipercineticos,MASCULINO,SUBSIDIADO,6-11,1
2024-01,BELEN DE UMBRIA,Trastornos Mentales Y Del Comportamiento Debidos Al Uso De Cannabinoides,MASCULINO,SUBSIDIADO,12-17,1
2024-01,BELEN DE UMBRIA,Trastornos Mentales Y Del Comportamiento Debidos Al Uso De Multiples Drogas Y Al Uso De Otras Sustancias Psicoactivas,MASCULINO,CONTRIBUTIVO,18-28,1
2024-01,BELEN DE UMBRIA,Trastornos Mentales Y Del Comportamiento Debidos Al Uso De Multiples Drogas Y Al Uso De Otras Sustancias Psicoactivas,MASCULINO,SUBSIDIADO,29-59,1
2024-01,BELEN DE UMBRIA,Trastornos Mentales Y Del Comportamiento Debidos Al Uso De Sedantes O Hipnoticos,MASCULINO,SUBSIDIADO,29-59,1
2024-01,BELEN DE UMBRIA,Trastornos Psicoticos Agudos Y Transitorios,MASCULINO,SUBSIDIADO,18-28,1
2024-01,BELEN DE UMBRIA,Trastornos Somatomorfos,FEMENINO,CONTRIBUTIVO,29-59,1
2024-01,BELEN DE UMBRIA,Tumor Benigno De La Glandula Tiroides,FEMENINO,SUBSIDIADO,29-59,1
2024-01,BOLIVAR,Problemas Relacionados Con El Ambiente Social,FEMENINO,CONTRIBUTIVO,29-59,1
2024-01,CARTAGO,Episodio Depresivo,MASCULINO,CONTRIBUTIVO,29-59,1
2024-01,CARTAGO,Obesidad,FEMENINO,CONTRIBUTIVO,29-59,2
2024-01,CARTAGO,Otras Sifilis Y Las No Especificadas,FEMENINO,SUBSIDIADO,29-59,1
2024-01,CARTAGO,Otros Trastornos De Ansiedad,FEMENINO,CONTRIBUTIVO,12-17,2
2024-01,CARTAGO,Otros Trastornos De Ansiedad,FEMENINO,OTRO,12-17,1
2024-01,CARTAGO,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,12-17,1
2024-01,CARTAGO,Otros Trastornos De Ansiedad,MASCULINO,SUBSIDIADO,29-59,1
2024-01,CARTAGO,Otros Trastornos Emocionales Y Del Comportamiento Que Aparecen Habitualmente En La Ninez Y En La Adolescencia,FEMENINO,CONTRIBUTIVO,12-17,1
2024-01,CARTAGO,Reaccion Al Estres Grave Y Trastornos De Adaptacion,MASCULINO,SUBSIDIADO,12-17,1
2024-01,CARTAGO,Trastorno Afectivo Bipolar,FEMENINO,CONTRIBUTIVO,29-59,2
2024-01,CARTAGO,Trastorno Afectivo Bipolar,FEMENINO,SUBSIDIADO,29-59,1
2024-01,CARTAGO,Trastornos De La Conducta,MASCULINO,CONTRIBUTIVO,6-11,1
